fecha,bdi
1999-07-28,979
1999-08-28,1041
1999-09-28,1216
1999-10-28,1380
1999-11-28,1355
1999-12-28,1319
2000-01-28,1340
2000-02-28,1511
2000-03-28,1623
2000-04-28,1635
2000-05-28,1576
2000-06-28,1625
2000-07-28,1628
2000-08-28,1638
2000-09-28,1738
2000-10-28,1756
2000-11-28,1688
2000-12-28,1600
2001-01-28,1528
2001-02-28,1531
2001-03-28,1486
2001-04-28,1461
2001-05-28,1416
2001-06-28,1393
2001-07-28,1084
2001-08-28,961
2001-09-28,969
2001-10-28,884
2001-11-28,866
2001-12-28,871
2002-01-28,924
2002-02-28,1029
2002-03-28,1082
2002-04-28,1042
2002-05-28,1035
2002-06-28,1006
2002-07-28,962
2002-08-28,1025
2002-09-28,1346
2002-10-28,1393
2002-11-28,1514
2002-12-28,1738
2003-01-28,1626
2003-02-28,1763
2003-03-28,1933
2003-04-28,2124
2003-05-28,2218
2003-06-28,2127
2003-07-28,2206
2003-08-28,2284
2003-09-28,2796
2003-10-28,4539
2003-11-28,4329
2003-12-28,4765
2004-01-28,5276
2004-02-28,5263
2004-03-28,4959
2004-04-28,4229
2004-05-28,3288
2004-06-28,2742
2004-07-28,3832
2004-08-28,4225
2004-09-28,4123
2004-10-28,4901
2004-11-28,5870
2004-12-28,4598
2005-01-28,4396
2005-02-28,4771
2005-03-28,4685
2005-04-28,4026
2005-05-28,3279
2005-06-28,2621
2005-07-28,1896
2005-08-28,2625
2005-09-28,3011
2005-10-28,3149
2005-11-28,2757
2005-12-28,2407
2006-01-28,2057
2006-02-28,2644
2006-03-28,2569
2006-04-28,2370
2006-05-28,2432
2006-06-28,2862
2006-07-28,3236
2006-08-28,3690
2006-09-28,3915
2006-10-28,3982
2006-11-28,4208
2006-12-28,4397
2007-01-28,4367
2007-02-28,4704
2007-03-28,5364
2007-04-28,6230
2007-05-28,6212
2007-06-28,6180
2007-07-28,6890
2007-08-28,7277
2007-09-28,9370
2007-10-28,11025
2007-11-28,9897
2007-12-28,9143
2008-01-28,5780
2008-02-28,7299
2008-03-28,7884
2008-04-28,9329
2008-05-28,11269
2008-06-28,9599
2008-07-28,8637
2008-08-28,7050
2008-09-28,3746
2008-10-28,1048
2008-11-28,763
2008-12-28,774
2009-01-28,1004
2009-02-28,1986
2009-03-28,1678
2009-04-28,1839
2009-05-28,3164
2009-06-28,3703
2009-07-28,3407
2009-08-28,2425
2009-09-28,2183
2009-10-28,3013
2009-11-28,3974
2009-12-28,3005
2010-01-28,3118
2010-02-28,2738
2010-03-28,3098
2010-04-28,3203
2010-05-28,4156
2010-06-28,2501
2010-07-28,1869
2010-08-28,2712
2010-09-28,2451
2010-10-28,2784
2010-11-28,2170
2010-12-28,1773
2011-01-28,1186
2011-02-28,1245
2011-03-28,1585
2011-04-28,1259
2011-05-28,1474
2011-06-28,1442
2011-07-28,1296
2011-08-28,1541
2011-09-28,1927
2011-10-28,2091
2011-11-28,1807
2011-12-28,1738
2012-01-28,726
2012-02-28,730
2012-03-28,917
2012-04-28,1156
2012-05-28,1034
2012-06-28,988
2012-07-28,933
2012-08-28,717
2012-09-28,744
2012-10-28,1049
2012-11-28,1097
2012-12-28,699
2013-01-28,798
2013-02-28,745
2013-03-28,922
2013-04-28,871
2013-05-28,826
2013-06-28,1151
2013-07-28,1082
2013-08-28,1169
2013-09-28,2046
2013-10-28,1671
2013-11-28,1573
2013-12-28,2277
2014-01-28,1217
2014-02-28,1250
2014-03-28,1412
2014-04-28,967
2014-05-28,973
2014-06-28,831
2014-07-28,739
2014-08-28,1063
2014-09-28,1049
2014-10-28,1285
2014-11-28,1239
2014-12-28,782
2015-01-28,688
2015-02-28,540
2015-03-28,596
2015-04-28,600
2015-05-28,587
2015-06-28,823
2015-07-28,1090
2015-08-28,905
2015-09-28,943
2015-10-28,739
2015-11-28,581
2015-12-28,478
2016-01-28,337
2016-02-28,327
2016-03-28,406
2016-04-28,715
2016-05-28,606
2016-06-28,616
2016-07-28,679
2016-08-28,720
2016-09-28,930
2016-10-28,798
2016-11-28,1181
2016-12-28,961
2017-01-28,827
2017-02-28,878
2017-03-28,1282
2017-04-28,1134
2017-05-28,912
2017-06-28,903
2017-07-28,942
2017-08-28,1209
2017-09-28,1429
2017-10-28,1546
2017-11-28,1477
2017-12-28,1366
2018-01-28,1219
2018-02-28,1188
2018-03-28,1117
2018-04-28,1361
2018-05-28,1077
2018-06-28,1309
2018-07-28,1676
2018-08-28,1697
2018-09-28,1524
2018-10-28,1519
2018-11-28,1339
2018-12-28,1271
2019-01-28,905
2019-02-28,651
2019-03-28,690
2019-04-28,889
2019-05-28,1066
2019-06-28,1340
2019-07-28,1937
2019-08-28,2213
2019-09-28,1857
2019-10-28,1801
2019-11-28,1440
2019-12-28,1090
2020-01-28,546
2020-02-28,529
2020-03-28,556
2020-04-28,661
2020-05-28,502
2020-06-28,1749
2020-07-28,1293
2020-08-28,1504
2020-09-28,1667
2020-10-28,1413
2020-11-28,1230
2020-12-28,1366
2021-01-28,1540
2021-02-28,1675
2021-03-28,2178
2021-04-28,2889
2021-05-28,2688
2021-06-28,3255
2021-07-28,3166
2021-08-28,4235
2021-09-28,4717
2021-10-28,3808
2021-11-28,2767
2021-12-28,2217
2022-01-28,1302
2022-02-28,2076
2022-03-28,2544
2022-04-28,2425
2022-05-28,2681
2022-06-28,2295
2022-07-28,2007
2022-08-28,1082
2022-09-28,1807
2022-10-28,1612
2022-11-28,1324
2022-12-28,1515
2023-01-28,676
2023-02-28,935
2023-03-28,1456
2023-04-28,1581
2023-05-28,1172
2023-06-28,1183
2023-07-28,1097
2023-08-28,1080
2023-09-28,1569
